pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.37221306119307e-06,8.95368843532178e-05,0.610526878385931,-0.389202995026821,-1.80617837422482,199,ATP6V1F|IDH1|PDP1|COX6B1|MRPL34|NDUFC2|MRPS11|MRPL35|SLC25A11|SDHB|DLD|COX4I1|ACAA1|NDUFA8|MRPL15|ATP6AP1|ATP6V1G1|ISCA1|SLC25A6|SUCLG1|ATP6V1D|ATP5MC2|MPC1|NQO2|UQCRFS1|NDUFA6|UQCRH|COX6A1|ATP5F1E|NDUFB2|ATP5ME|NDUFB5|MFN2|UQCR10|TIMM8B|SLC25A20|RETSAT|NDUFA1|ACAA2|HTRA2|NDUFS3|ALDH6A1|ATP6V0C|ATP6V1C1|NDUFB7|MRPS30|UQCRB|MRPS22|ATP5PF|UQCR11|ATP5MG|ACADM|BAX|COX8A|BCKDHA|NDUFA5|ECHS1|MTRF1|NDUFB1|PHB2|UQCRQ|MDH1|ETFB|COX5A|VDAC3|DECR1|GPX4|ATP5PO|PHYH|NDUFB3|NDUFA2|MRPS12|CYB5A|ATP5PB|COX7A2L|UQCRC2|OXA1L|COX6C|PDHA1|SLC25A3|SDHD|NDUFA3|HCCS|UQCRC1|COX7C|COX7B|ECI1|ETFDH|ATP6V1E1|NDUFC1|NNT|ECH1|CYB5R3|ISCU|ATP5MC3|ACAT1|CASP7|NDUFV2|MRPL11|ATP6V0E1|SUCLA2|ATP5F1A|MRPS15|NDUFS4|PDHX|ATP5MF|COX7A2|ATP6V0B|IDH3B|SDHC|NDUFS8|NDUFB8|DLAT|NDUFS6|ALAS1|COX5B|NDUFS7|BDH2,Enriched in LOW
HALLMARK_PEROXISOME,0.00255290777599941,0.0159556735999963,0.431707695803346,-0.40050204912881,-1.63037351025205,87,CEL|BCL10|IDH1|CLN8|TOP2A|SIAH1|ALB|FIS1|PEX6|PEX11B|TSPO|ACAA1|HSD17B11|PEX2|PEX11A|PRDX5|CAT|ITGB1BP1|EHHADH|ALDH9A1|RETSAT|MSH2|ABCD3|VPS4B|CADM1|NUDT19|SOD1|MLYCD|ABCB1|CDK7|IDI1|HSD3B7|ABCC5|SEMA3C|ACSL1|EPHX2|ATXN1|ECH1|SLC25A19,Enriched in LOW
HALLMARK_ADIPOGENESIS,0.00495724985819475,0.0247862492909737,0.407017918923954,-0.31107529192131,-1.44456227882315,198,IDH1|UCK1|RTN3|ANGPT1|MCCC1|MGLL|AGPAT3|TST|SDHB|DLD|JAGN1|PDCD4|PGM1|MRAP|MRPL15|DHRS7|SUCLG1|UCP2|IFNGR1|COX6A1|REEP6|GPAM|UQCR10|CAT|FAH|ADIPOQ|RETSAT|ACAA2|ME1|QDPR|NDUFS3|NMT1|DNAJB9|NDUFB7|SLC25A10|CHCHD10|UQCR11|LPL|ACADM|COX8A|BCKDHA|NDUFA5|LEP|ECHS1|ALDH2|SLC25A1|CDKN2C|ATL2|PPARG|UQCRQ|LIPE|HIBCH|SULT1A1|ETFB|TOB1|HADH|SOD1|DECR1|DNAJC15|OMD|GPX4|ATP5PO|PHYH|CD36|SAMM50|CMBL|TANK|FZD4|CIDEA|APOE|ACADS|ITSN1|ORM1|VEGFB|ITIH5|SLC27A1|UQCRC1|EPHX2|DRAM2|DDT|PPP1R15B|COX7B|TALDO1,Enriched in LOW
HALLMARK_ALLOGRAFT_REJECTION,0.00745420100069402,0.0286700038488232,0.407017918923954,-0.321201283329108,-1.47293733829008,172,CCR2|BCL10|CCR5|CD2|IGSF6|IL2RB|SIT1|LY86|CD3E|ITGB2|CAPG|CCR1|LTB|CD4|BRCA1|CD28|PRF1|FCGR2B|GZMA|IL18|TLR1|CSK|IRF8|KRT1|CD86|IL12RB1|RPS19|LCP2|CD247|IFNGR1|CD3D|SOCS1|CCL4|NLRP3|DYRK3|STAT4|IL2RA|RIPK2|CDKN2A|CD8A|LCK|GPR65|PTPRC|IL2RG|ST8SIA4|CTSS|HLA-DMB|ITK|RPS3A|CCND3|ZAP70|LYN|RPS9|ELANE|SPI1|CD8B|FYB1|HCLS1|CFP,Enriched in LOW
HALLMARK_HEME_METABOLISM,0.00708660261486812,0.0286700038488232,0.407017918923954,-0.318662496788228,-1.44798078140569,165,NCOA4|UBAC1|GCLC|FBXO9|TAL1|ACP5|EPB41|MKRN1|KAT2B|MPP1|MARCHF8|TRAK2|SYNJ1|FBXO34|DCUN1D1|ISCA1|UROD|TENT5C|KLF3|UCP2|TFDP2|FBXO7|MYL4|LMO2|BPGM|SDCBP|CAT|CTSB|TMEM9B|LPIN2|AGPAT4|PGLS|PRDX2|SLC25A38|HTRA2|ALDH6A1|RBM38|DCAF11|SELENBP1|ERMAP|BLVRB|HAGH|CCND3|GDE1|VEZF1|ADIPOR1|GLRX5|CCDC28A|HTATIP2|ALAD|ANK1|PC|HEBP1|ATG4A,Enriched in LOW
HALLMARK_FATTY_ACID_METABOLISM,0.0084130731357217,0.0300466897704346,0.380730400722792,-0.32245063504165,-1.43285604279317,144,CEL|PCBD1|GSTZ1|IDH1|GCDH|VNN1|CBR3|MGLL|DLD|CRYZ|ACAT2|ACAA1|HSD17B11|UROD|SUCLG1|NTHL1|REEP6|ENO3|BPHL|EHHADH|ALDH9A1|RETSAT|ERP29|ACAA2|ME1|MIX23|SMS|HPGD|PPARA|CBR1|ACADM|ECHS1|NCAPH2|MDH1|HIBCH|GPD1|HADH|MLYCD|ALAD|DECR1|CD36|MCEE|UROS|CIDEA|AQP7|PDHA1|ALDH3A2|TP53INP2|ACADS|IDI1|HSPH1|SDHD|HCCS|ACSL1|ECI1|FASN|SUCLG2|ETFDH,Enriched in LOW
HALLMARK_KRAS_SIGNALING_DN,0.00977616678510305,0.0325872226170102,0.380730400722792,-0.349099082661286,-1.48317951663975,108,LYPD3|PTPRJ|FGF22|LFNG|P2RX6|PDCD1|YPEL1|CAMK1D|SELENOP|SPHK2|ZNF112|PDK2|SLC29A3|KRT1|TENT5C|SGK1|KCNE2|GP2|VPS50|ASB7|COQ8A|RYR2|SIDT1|CHST2|COPZ2|CPB1|SHOX2|ADRA2C|YBX2|THRB|THNSL2|PRKN|CLPS|CALML5|SKIL|SPRR3|FGFR3|ACTC1|PDE6B|CCDC106,Enriched in LOW
HALLMARK_COMPLEMENT,0.0130988327513598,0.0409338523479993,0.380730400722792,-0.308771075179719,-1.4077352177488,171,GATA3|CDK5R1|CASP3|PIK3CG|RABIF|PSEN1|PDP1|GRB2|RCE1|DOCK4|PRDM4|MMP15|LIPA|DUSP6|PLEK|GZMA|GNGT2|C1QC|CR1|C1QA|VCPIP1|SERPINA1|ANG|LCP2|CXCL1|CASP1|SH2B3|PPP4C|RHOG|PIK3R5|APOC1|CTSB|ITGAM|GZMK|PLA2G7|ME1|PRKCD|LCK|KIF2A|SPOCK2|PIK3CA|CTSS|PRSS36|F5|LGALS3|CTSH|LYN|GNAI2|MSRB1,Enriched in LOW
HALLMARK_E2F_TARGETS,0.0166820823296008,0.0490649480282376,0.352487857583619,-0.301862824657866,-1.38905560655962,177,ASF1A|ING3|CDK1|H2AX|AURKB|PPM1D|CKS1B|TACC3|USP1|UNG|STMN1|MCM7|ASF1B|TOP2A|PLK1|DCK|DCLRE1B|PPP1R8|BRCA1|RRM2|NCAPD2|SLBP|ORC6|CDC20|RAD21|SUV39H1|MCM2|DSCC1|TCF19|PSMC3IP|RAD1|MAD2L1|DUT|CDC25B|PCNA|NAA38|RFC1|CIT|AURKA|MCM5|SHMT1|POP7|RNASEH2A|HMGB3|RAD51AP1|EED|CKS2|CDKN2A|MSH2|UBE2T,Enriched in LOW
HALLMARK_APICAL_SURFACE,0.0258371323357834,0.0717698120438428,0.352487857583619,-0.447419477047475,-1.54518348592144,35,GATA3|LYPD3|EPHB4|IL2RB|GHRL|BRCA1|CRYBG1,Enriched in LOW
HALLMARK_BILE_ACID_METABOLISM,0.158139534883721,0.382975648529518,0.135740943810425,-0.291741064018239,-1.18566165131009,86,RXRA|IDH1|PEX6|APOA1|BMP6|PXMP2|PECR|HSD17B11|PEX11A|SOAT2|PRDX5|CAT|ALDH9A1|RETSAT|PEX12|LCK|ABCD3|PIPOX|LIPE|SOD1|MLYCD|PHYH|SLC27A5|NUDT12|AR|FDXR|CYP27A1|BCAR3|IDI1|PEX19|HSD3B7|ABCA3|OPTN|ACSL1|EPHX2|ATXN1,Enriched in LOW
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.160849772382398,0.382975648529518,0.132846300606183,-0.283687757127313,-1.18997786484474,99,AKT1S1|CDK1|FGF22|MAPKAP1|RIT1|GRB2|TBK1|PIK3R3|PPP1CA|GSK3B|E2F1|RIPK1|GRK2|MAPK10|RPS6KA1|DAPP1|LCK|IL2RG|ECSIT|FGF17|VAV3|CAB39L|PPP2R1B|ATF1|PIN1|MKNK2|PLA2G12A|PRKCB|PRKAR2A|CXCR4|ARPC3|DDIT3|SQSTM1|SLA|MAP2K6|SMAD2,Enriched in LOW
HALLMARK_KRAS_SIGNALING_UP,0.196022727272727,0.426136363636364,0.114266502484433,-0.247576021082525,-1.13924879794052,177,SATB1|TLR8|CSF2RA|PCSK1N|C3AR1|ITGB2|ZNF639|DUSP6|IL7R|RBP4|IL10RA|MALL|TOR1AIP2|NAP1L2|IRF8|EPHB2|GALNT3|MAFB|LAT2|FUCA1|PRELID3B|IKZF1|LCP1|BPGM|DOCK2|ALDH1A2|ADAM8|ACE|F13A1|ETV4|PLEK2|ATG10|IL2RG|CTSS|CD37|CLEC4A|RBM4|ADAM17|CAB39L|LAPTM5|GUCY1A1|MAP4K1|TRIB1|YRDC|SPP1|ABCB1,Enriched in LOW
HALLMARK_SPERMATOGENESIS,0.224489795918367,0.467687074829932,0.111918316325105,-0.291836007598868,-1.1547258554437,72,HSPA1L|CDK1|IP6K1|PCSK1N|COIL|SIRT1|ACRBP|PCSK4|TOPBP1|RAD17|HSPA2|NF2|ACE|STRBP|AURKA|DBF4|GFI1|TSN|TLE4|VDAC3|NPY5R|YBX2|POMC|GMCL1|KIF2C|RPL39L|PRKAR2A|IL13RA2|SLC12A2,Enriched in LOW
HALLMARK_DNA_REPAIR,0.314456035767511,0.593990216631726,0.0883594442500905,-0.239261993958646,-1.06912172183017,148,CLP1|GTF2B|DGCR8|FEN1|PRIM1|TYMS|VPS37B|BRF2|UMPS|POLR2D|POLR2J|ELOA|ERCC4|ARL6IP1|DUT|SDCBP|SUPT4H1|PCNA|POLR3GL|POLH|RALA|NT5C3A|TSG101|MPC2|SAC3D1|AK1|BCAP31|TARBP2|GTF2H5|EDF1|RNMT|CANT1|DCTN4|SRSF6|RPA2|POLR1D|POLR2E|HCLS1,Enriched in LOW
