pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.46798843109055e-06,7.33994215545274e-05,0.643551836150722,0.366903738723741,1.85515253556757,185,BHLHE40|GADD45B|PPP1R15A|SLC2A3|HES1|CFLAR|HBEGF|RHOB|SDC4|ZFP36|IL15RA|DUSP5|NR4A1|CDKN1A|NFIL3|NFAT5|MAP2K3|CLCF1|ETS2|KLF9|BCL6|JUNB|TAP1|PTX3|JUN|CCNL1|B4GALT5|GFPT2|ATF3|MAFF|PHLDA1|EHD1|SPHK1|SLC2A6|SMAD3|CSF1|LIF|CEBPB|FOSL2|RELA|NFKB2|KLF6|B4GALT1|LDLR|AREG|VEGFA|IER3|BCL3|JAG1|PHLDA2|INHBA|CCN1|NAMPT|PLAU|EFNA1|RELB|NR4A3|TNIP2|BMP2|SAT1|FJX1|TNFAIP6|TRIP10|F3,Enriched in HIGH
HALLMARK_MYC_TARGETS_V2,3.16969064017663e-06,7.92422660044157e-05,0.627256739718528,0.532215996343932,2.19559068197518,57,MYBBP1A|MAP3K6|NOC4L|RRP9|PUS1|RRP12|PPRC1|LAS1L|UTP20|NOP56|NOP2|IPO4|PPAN|NOP16|TBRG4|NOLC1|MRTO4|PA2G4|RABEPK|EXOSC5|BYSL|GNL3|PRMT3|TCOF1|HK2|DDX18|WDR43|PES1|AIMP2,Enriched in HIGH
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.3404232642877e-05,0.000167552908035962,0.593325476396405,0.35634726593611,1.79971780045456,192,GADD45B|FOXC2|PVR|FSTL3|RHOB|SDC4|COMP|SERPINE2|COL4A2|COL4A1|PTX3|JUN|ITGA5|IGFBP4|THBS1|ITGB3|FAS|TGM2|IL32|TIMP1|BMP1|LAMA2|NTM|MMP14|FLNA|DPYSL3|AREG|IL15|VEGFA|LAMC1|BDNF|PDLIM4|INHBA|VCAM1|TFPI2|NT5E|NNMT|GPC1|CCN1|TNFRSF12A|TAGLN|TPM4|PDGFRB|P3H1|ITGA2|COL6A3|NOTCH2|QSOX1|SNTB1|SAT1|LOXL2|LAMA3|GJA1|ITGB1|MXRA5|ECM1|PRRX1|FGF2|ACTA2|TPM2|COLGALT1|SFRP1|SERPINE1|IL6|PCOLCE2|NID2,Enriched in HIGH
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.000265598590417708,0.00265598590417708,0.49849310876659,0.36492082262464,1.69460171158934,112,ASNS|MTREX|IARS1|EXOSC9|STC2|ATF6|FUS|DDX10|SEC31A|CNOT2|RRP9|EXOSC10|PARN|EIF4G1|NOP56|EXOC2|ATF3|WFS1|DDIT4|ALDH18A1|EDC4|PSAT1|NOLC1|CEBPB|SRPRA|EXOSC2|EIF4A3|ARFGAP1|VEGFA|EXOSC5|NHP2|CNOT6|ERN1|KHSRP|EIF4A1|FKBP14|DKC1|HSPA9|SHC1|ERO1A|DCP2|DCTN1|PDIA5|ZBTB17|CNOT4|XPOT|NOP14,Enriched in HIGH
HALLMARK_MYC_TARGETS_V1,0.000701561774425636,0.00584634812021363,0.477270815362862,0.305164642628215,1.53955761745998,198,HNRNPR|HNRNPD|SRSF3|NCBP1|HNRNPU|IARS1|RANBP1|DHX15|HNRNPA3|SRSF2|RRP9|TARDBP|SF3B3|PRPF31|CAD|NOP56|SRPK1|SRSF1|DDX21|PSMD1|CDK2|CCT7|NOP16|SNRPA1|NME1|EIF3J|HPRT1|IMPDH2|NOLC1|HNRNPA1|EIF3B|PWP1|PA2G4|EPRS1|CLNS1A|XRCC6|SYNCRIP|NHP2|NCBP2|KARS1|HDGF|EIF1AX|RAD23B|GNL3|SNRPA|MCM6|G3BP1|RAN|PSMD7|LDHA|LSM7|SNRPD1|CSTF2|KPNB1|EIF4A1|POLD2|HNRNPC|PSMB3|CTPS1|DDX18|ABCE1|HDDC2|AIMP2|PSMC6|ODC1|CCT5|SRM|VDAC1|SET|HSP90AB1|ORC2|XPOT|PGK1|H2AZ1|RNPS1|CCT2|SNRPD3|CDK4|HNRNPA2B1|GOT2|EIF2S2|EXOSC7|SERBP1|PSMD3,Enriched in HIGH
HALLMARK_HYPOXIA,0.00214538443697117,0.0153241745497941,0.431707695803346,0.302925395019046,1.52180309660501,182,BHLHE40|ADM|PPP1R15A|SLC2A3|SDC4|ZFP36|STC1|CDKN1A|STC2|NFIL3|PIM1|XPNPEP1|FOXO3|MT2A|GPI|CHST3|WSB1|LXN|JUN|PPP1R3C|TGM2|ATF3|PDK1|AKAP12|MAFF|DDIT4|TPBG|GPC3|FOSL2|KLF6|NOCT|TPI1|MT1E|GALK1|ENO1|VEGFA|IER3|PGM2|ERRFI1|GPC1|CCN1|LDHA|GLRX|HK2|EFNA1|GCK|MIF|F3|PLIN2|ERO1A|GAPDH|SRPX|AK4|BTG1|ALDOA|SERPINE1|IL6|ANGPTL4,Enriched in HIGH
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00320332700638586,0.0177962611465881,0.431707695803346,0.29249447553416,1.47723180300148,192,IL18BP|PML|PSME2|IL4R|IL15RA|TRAFD1|STAT1|STAT3|PSME1|CDKN1A|WARS1|PIM1|MT2A|CMTR1|PTPN1|TAP1|AUTS2|NOD1|TAPBP|CD40|NUP93|ADAR|FAS|OGFR|NCOA3|SERPING1|PNPT1|MVP|CD38|HLA-A|LAP3|LATS2|UPP1|CFB|DHX58|PARP14|IL15|PTPN2|RNF31|IFITM2|VCAM1|NLRC5|PNP|NAMPT|LGALS3BP|GBP4|RBCK1|SP110|HLA-B|PSMB9|VAMP5|STAT2|XAF1|IFNAR2|UBE2L6|TNFAIP6|PSMB10|CMKLR1|HIF1A|LYSMD2|BTG1|SRI|PSMB8|RAPGEF6|GCH1|IL6,Enriched in HIGH
HALLMARK_ANGIOGENESIS,0.00641882969977807,0.0286700038488232,0.407017918923954,0.487254297486654,1.76347291472063,33,STC1|PRG2|THBD|VAV2|CCND2|APP|SLCO2A1|TIMP1|FGFR1|PDGFA|VEGFA|JAG1,Enriched in HIGH
HALLMARK_IL2_STAT5_SIGNALING,0.0976430976430976,0.256955520113415,0.266350657088526,0.234150375560756,1.18464306920137,186,BHLHE40|GADD45B|SLC2A3|PLPP1|IL4R|RHOB|ADAM19|NFIL3|PIM1|PUS1|IKZF4|CCND2|HYCC2|IKZF2|NOP2|SOCS2|TGM2|NCOA3|BATF3|IL1RL1|UCK2|MAFF|PHLDA1|DCPS|CSF1|ST3GAL4|LIF|POU2F1|KLF6|LCLAT1|PLEC|CKAP4,Enriched in HIGH
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.184873949579832,0.420168067226891,0.172324344900946,0.256564396238078,1.16687024812623,95,PSME2|IL4R|TRAFD1|PSME1|WARS1|CMTR1|TAP1|ADAR|OGFR|PNPT1|MOV10|LAP3|CSF1|DHX58|PARP14|IL15|PARP9|RNF31|IFITM2|LGALS3BP|GBP4|SP110|NCOA7|PSMB9|STAT2|UBE2L6|UBA7|HLA-C|PSMB8|IFITM1|IFI35|DDX60|IFITM3|SLC25A28,Enriched in HIGH
